name,price,volume24h,volume7d,volume30d,lastUpdated,marketCapByTotalSupply
BitTorrent,0.000741649,155773.5505,1104339.956,4844738.164,2023-04-26T16:28:00.000Z,734232165.7
TNC Coin,0.108584992,77803.23523,517646.6995,2197007.966,2023-04-26T16:28:00.000Z,21360839629
Kaspa,0.031630837,17556603.61,121562987.6,312816700,2023-04-26T16:28:00.000Z,574542522.7
FTX Token,1.646359441,22090098.42,180582211.1,592788545.6,2023-04-26T16:28:00.000Z,541479559.2
Bitget Token,0.38084997,9403101.837,60917518.26,288754011.4,2023-04-26T16:28:00.000Z,761699939.5
Tether Gold,1993.41374,7600365.236,52030150.04,213362552.2,2023-04-26T16:28:00.000Z,491424328.8
Wrapped Kava,0.8247406,0,0,0,2023-04-26T16:28:00.000Z,408019953.2
Baby Doge Coin,3.02E-09,8625369.712,59545092.16,258141630.8,2023-04-26T16:28:00.000Z,701306963.5
DeFiChain,0.489413079,5658213.976,41762334.91,180618830.1,2023-04-26T16:28:00.000Z,494540081.9
WEMIX,1.278532332,6458744.306,45958950.1,161174985.4,2023-04-26T16:28:00.000Z,1231356124
USDJ,1.124669374,1329816.401,8972260.433,38350294.85,2023-04-26T16:28:00.000Z,307253511.7
Liquity USD,1.014093534,2563569.21,18067486.03,82155812.49,2023-04-26T16:28:00.000Z,275551091.9
Huobi BTC,29784.22205,54410.19332,360102.0235,1712176.347,2023-04-26T16:28:00.000Z,267149490.5
LUKSO,15.04583641,1796381.015,14142335.58,51595989.29,2023-04-26T16:28:00.000Z,1504583641
Ronin,1.085286745,3428800.414,21583207.19,74451286.24,2023-04-26T16:28:00.000Z,1085286745
Astrafer,1.397803731,25708.90584,193619.5139,828336.1031,2023-04-26T16:28:00.000Z,1241358585
Beldex,0.053920119,2289184.591,15069160.78,71994543.87,2023-04-26T16:28:00.000Z,534548552.6
GensoKishi Metaverse,0.123845677,1390119.035,8300825.875,37232537.8,2023-04-26T16:28:00.000Z,247691354.7
Edgecoin,1.000463686,22698751.03,152269819.4,666790812.5,2023-04-26T16:28:00.000Z,1000463686
Gains Network,6.382963394,17763149.09,134040001.9,454531175.3,2023-04-26T16:28:00.000Z,194384335.3
AVINOC,0.408124878,299541.1508,2121568.677,8189473.49,2023-04-26T16:28:00.000Z,408124877.5
Telcoin,0.002325157,989274.9118,7004076.423,30184793.12,2023-04-26T16:28:00.000Z,232515732.5
inSure DeFi,0.005685494,3384846.359,23197944.57,101208039.4,2023-04-26T16:28:00.000Z,500323513
tomiNet,3.547753595,18279662.38,116638236.5,540660989.8,2023-04-26T16:28:00.000Z,348185242.1
STASIS EURO,1.098996183,16564473.73,125093560.1,466389474.2,2023-04-26T16:28:00.000Z,136413934.3
VVS Finance,3.71E-06,2378635.067,16902330.78,79516637.04,2023-04-26T16:28:00.000Z,266021031.1
Decentralized Social,14.31682711,3713515.039,24437404.07,109375828.7,2023-04-26T16:28:00.000Z,154743311.2
RSK Infrastructure Framework,0.128798471,8852579.752,58475424.85,258630903,2023-04-26T16:28:00.000Z,128798471.1
Hashflow,0.634422783,79654056.22,553515268.7,1189593917,2023-04-26T16:28:00.000Z,634422783.1
PlayDapp,0.22416362,7324385.217,50146820.74,217857189.6,2023-04-26T16:28:00.000Z,156914533.7
Polymesh,0.194153175,53617909.87,387918308.4,1386910733,2023-04-26T16:28:00.000Z,146651758
Synapse,0.865896152,19647447.55,137578810.3,354273921.7,2023-04-26T16:28:00.000Z,166855243.6
Pundi X (New),0.468134157,4048059.945,28814880.98,102574880.6,2023-04-26T16:28:00.000Z,121008764.7
Kyber Network Crystal v2,0.72303331,6484413.333,40581684.3,195316928.2,2023-04-26T16:28:00.000Z,162108793.8
TemDAO,0.00444714,6437258.507,42079552.15,146845899.4,2023-04-26T16:28:00.000Z,2223569823
Wrapped Everscale,0.066991471,0,0,0,2023-04-26T16:28:00.000Z,139415291.6
MVL,0.005246126,210409199.9,1719777953,12376893537,2023-04-26T16:28:00.000Z,145857820.1
DeXe,3.248453523,3083234.16,22259078.37,102292174.8,2023-04-26T16:28:00.000Z,313490705.7
Braintrust,0.849484355,701666.1852,5507598.742,25385020.18,2023-04-26T16:28:00.000Z,212371088.7
Decimal,0.033120546,239437.7178,1519494.466,6797151.053,2023-04-26T16:28:00.000Z,117053456.6
Axelar,0.487151567,2569333.719,17468965.85,78308824.68,2023-04-26T16:28:00.000Z,514332019.6
MediBloc,0.016743658,1866552.698,12318723.5,51315433.23,2023-04-26T16:28:00.000Z,141205544.9
Coin98,0.247380851,17732708.14,122635314.2,400878907,2023-04-26T16:28:00.000Z,247380850.5
Galxe,1.779413807,13489370.61,88337662.78,363209353.3,2023-04-26T16:28:00.000Z,355882761.5
Syscoin,0.152564556,1478401.607,10314661.23,39569304.27,2023-04-26T16:28:00.000Z,114639561.7
Everscale,0.063597746,3414480.649,21742290.52,90923767.11,2023-04-26T16:28:00.000Z,130371899
Smooth Love Potion,0.002691116,10486366.52,66195457.68,261879993.1,2023-04-26T16:28:00.000Z,113593242.2
Radiant Capital,0.430855483,83282561.5,544019813,2111886665,2023-04-26T16:28:00.000Z,430855482.8
Chromia,0.164329154,8706919.836,55404886.15,241619894,2023-04-26T16:28:00.000Z,113469154.3
Nano,0.845868869,793618.6822,5377766.506,18528813.55,2023-04-26T16:28:00.000Z,112710586.4
Merit Circle,0.296060044,3498613.126,23451394.58,108498523.9,2023-04-26T16:28:00.000Z,198304321.6
LooksRare,0.136967276,4773936.448,31663741.93,118532456.4,2023-04-26T16:28:00.000Z,120173542.8
FLEX,1.123787728,558342.2653,3572898.974,17339004.49,2023-04-26T16:28:00.000Z,110958040.9
ConstitutionDAO,0.021598138,12365216.09,78683779.02,303149893.7,2023-04-26T16:28:00.000Z,109289544.9
Locus Chain,0.051786676,613185.1416,4501328.173,17996913.9,2023-04-26T16:28:00.000Z,362506731.3
Numeraire,17.2993748,2701023.124,17908262.38,75255239.4,2023-04-26T16:28:00.000Z,188229346.9
Civic,0.106407065,6198195.005,44879514.47,202133541.5,2023-04-26T16:28:00.000Z,106407065.3
